epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2733.86,0.33381,0.15913,0.00436,0.99911,1,0.995,0.98486,0.2455,0.08132,0.00571,0.0005348,0.0005348,0.0005348
76,2770.93,0.30574,0.16066,0.00416,0.99422,1,0.995,0.98615,0.21882,0.11843,0.00505,0.000515,0.000515,0.000515
77,2807.25,0.31847,0.14669,0.00423,0.99695,1,0.995,0.99178,0.22163,0.09934,0.00501,0.0004952,0.0004952,0.0004952
78,2843.56,0.3266,0.16091,0.00436,0.99869,1,0.995,0.9891,0.20813,0.08353,0.00459,0.0004754,0.0004754,0.0004754
79,2880.57,0.32163,0.15416,0.0043,1,0.99711,0.995,0.98971,0.21823,0.10455,0.00493,0.0004556,0.0004556,0.0004556
80,2918.47,0.30675,0.14958,0.00409,0.99233,1,0.995,0.9797,0.2165,0.09872,0.00482,0.0004358,0.0004358,0.0004358
81,2956.68,0.30806,0.15108,0.00399,0.99887,1,0.995,0.98382,0.21333,0.07471,0.00475,0.000416,0.000416,0.000416
82,2994.04,0.29146,0.15343,0.00394,0.99515,1,0.995,0.98467,0.20619,0.09022,0.00458,0.0003962,0.0003962,0.0003962
83,3033.35,0.29547,0.14131,0.00397,0.98347,0.99185,0.99484,0.98792,0.23125,0.1275,0.0053,0.0003764,0.0003764,0.0003764
84,3071.16,0.30285,0.15802,0.00404,0.99981,1,0.995,0.98173,0.22497,0.07965,0.00508,0.0003566,0.0003566,0.0003566
85,3110.36,0.28562,0.14222,0.00392,0.99909,1,0.995,0.9834,0.24602,0.08024,0.00573,0.0003368,0.0003368,0.0003368
86,3150.13,0.28948,0.14301,0.00388,0.99917,1,0.995,0.98517,0.21635,0.07192,0.00489,0.000317,0.000317,0.000317
87,3189.61,0.29113,0.14771,0.00384,0.99902,1,0.995,0.98355,0.22309,0.07488,0.00504,0.0002972,0.0002972,0.0002972
88,3228.45,0.28584,0.13845,0.00378,1,0.99766,0.995,0.98938,0.21486,0.08502,0.00477,0.0002774,0.0002774,0.0002774
89,3268.07,0.29533,0.14251,0.00386,0.99918,1,0.995,0.99057,0.22267,0.07419,0.00508,0.0002576,0.0002576,0.0002576
90,3306.48,0.2906,0.142,0.00376,0.99905,1,0.995,0.98743,0.21807,0.07245,0.00489,0.0002378,0.0002378,0.0002378
91,3344.51,0.24852,0.10335,0.00465,0.99296,1,0.995,0.98664,0.22012,0.0993,0.00496,0.000218,0.000218,0.000218
92,3383.02,0.25038,0.09761,0.00475,0.999,1,0.995,0.98733,0.23092,0.0794,0.00527,0.0001982,0.0001982,0.0001982
93,3421.98,0.24792,0.09904,0.00473,0.99902,1,0.995,0.98423,0.22974,0.08375,0.00521,0.0001784,0.0001784,0.0001784
94,3459,0.24286,0.09508,0.00458,1,0.99868,0.995,0.98581,0.21909,0.08828,0.00495,0.0001586,0.0001586,0.0001586
95,3495.25,0.24229,0.09751,0.00448,1,0.99925,0.995,0.98367,0.21825,0.09227,0.00488,0.0001388,0.0001388,0.0001388
96,3531.54,0.23444,0.09158,0.00442,0.98096,1,0.99484,0.98739,0.21527,0.09492,0.00482,0.000119,0.000119,0.000119
97,3568.69,0.23526,0.09276,0.00448,0.99908,1,0.995,0.9876,0.21872,0.07265,0.00491,9.92e-05,9.92e-05,9.92e-05
